Review	Liked
Wonderful headphone!	5
Best Christmas present ever	5
Best headphones!	5
Headphones now work perfecly	5
Sound quality? No, haven't heard of it	2
Great Headphones with great customer service	5
In this case I'm amazed.. I have several music type speakers	5
so very happy with this produce	5
it is ezy to use	5
Seems to be a good decision to purchase.	5
Nice headphones	5
Not bad for the price.	4
Solid Meh	3
Audio not great, uncomfortable and heavy	3
Hidden gem & great sound.	5
Fine for low expectations	2
Great Price & Sound Quality But After Just  5 Months They Broke & Not Working	2
Good headphones, battery failed after 2 weeks	2
Very Nice!	5
Incredible bargain	5
very nice	5
Great Affordable Headphones	5
Looks and sound quality	4
Good for the price point	3
Worth its price!!	4
Worst sounding headphones I have ever put on.	1
Great sound	5
The sound is amazing, I hear every word	5
works well	4
Buy other headphones!	2
Great in BT, not in ANC	5
Well constructed and sound GREAT to my ears.	5
Worth every penny	4
Good quality, wonderful sound	4
Great headphones for the price	5
Great for Travel	5
Great pair of over the ear headphones at a fraction of the price of others	5
Just as good as Beats for a fraction of the cost	5
Cheap, Good overall, weak bass, no volume control.	3
breaks so easily	5
Check, check, check em' out	5
Comfortable and good solution	4
More than I expected	5
I just bought these from Amazon and love them. Easy to pair	5
UPDATED - Amazing customer service, solid headphones	5
Okay headphones, but noise-cancelling is useless.	2
First Bluetooth Headphones-Excellent Choice!	4
These headphones are ok.  UPDATE  UPDATE	5
Great for the money!	4
Well worth the price!!!!!	5
Everything is good, except for the disappointing bass and perhaps the weight	4
It's Awesome. I will highly recommend to purchase from this seller "COWIN "	5
Beats Beats	5
Awesome!	5
Good for quiet places	3
Not bad	4
Nice substitute	4
Super great value	5
Highly impressed!	5
Great bang for the buck	5
I was surprised by the good build, much better than I expected for the ...	5
Great for open concept offices-keeps you focused!	5
Can't wear for long time, uncomfortable to painful	2
Good investment	5
Cutting in and out	1
Beautiful headphones for the price point	5
Great product for the price	5
No USB Cable Came With My Unit; Awful Skipping	1
We have 2 of these models (Green and Blue).	5
LOVE	5
Great headphones. Happy with my purchase.	5
Good audio, but heavy and a little tight.  Noise cancelling feature is AMAZING!	4
Great , but mic for talking is super poor quality , useless for taking	3
Fantastic company with a fantastic product	5
The company contacted me and will be sending a free replacement	5
Very Impressed!	5
Great quality- works well at canceling noise	4
Great comfort, bass slightly lacking.	4
I tried using a pocket charger and it didn't work. You have to turn the Headset off	5
Broke after 6 months' use	1
Not noise cancelling	2
Couldn't connect to TV and no Cowin customer service	5
I never thought 7o dollars can have this great earphone. Nice and lovely packed	5
Excellent, reliable sound	5
Okay but not as expected	3
Great Product and Customer Service	5
Can't beat the price.	5
Great option for the price	4
Great headset without being wired.	5
Comfortable!	5
Broke after a single day of use	1
Just get em	5
Cowin is the brand to look for	5
Could use more bass	4
Great noise cancellation for travel	5
I love these.	5
Pretty awful. Wish I hadn't bought these even on sale.	1
Great buy would recommend	4
I love these headphones so much, I bought a 2nd pair!	5
Im changing to 4 stars ,they are worth the money	4
Comparison with Bose Noise-Canceling Headphones - Cowin E7 is the better choice in my opinion	5
Great product for the price!	4
Great deal	5
Do not buy this headset if your intentions for its primary use is for making calls	3
Good set of headphones for the price	5
Very nice for the price	4
Better than better known name brand headsets	5
Great value	4
Delighted!!	5
Fine Bloothtooth Headphones for the price	4
A lifelong Cowin Customer	5
lIGHTWEIGHT BUT GREAT SOUND AND GOOD BATTERY LIFE!	5
Great sound quality	5
Terrible	1
Take 3?	3
1st set replaced but replacement set working great	5
Right ear cup separated from headband	1
great noise canceling for shouting	4
Long lasting, great sounding, comfortable headphones	5
Dont buy *update 7/16/19	3
I am IN LOVE with these head phones	5
Quality bluetooth headphones at a decent price	5
noise cancelling	5
Definitely not noise canceling	3
Works like a champ.	5
Really awesome product for the price	5
Great deal for the price	5
Awesome "Beats" competitors in value	5
These are amazing. I work in a noisy cubicle environment	5
Good value, good sound	5
Best Headphones in Midrange Class.	5
Great Customer Service....	4
the sound quality is okay, but	3
I had a problem, they stood behind it the product.	5
Great sound quality, not sturdy construction.	4
Don't buy unless you only want to use bluetooth mode	2
Great set of headphones	5
Good Sound - Not that stylish	4
Great headphones for daily use	4
For the price, you'd be hard pressed to beat it	5
Good except when it was making a crackling sound	3
Parents ... this drowns out dramatic teen daughters	5
Were OK for the first 6 months, but started falling apart after that.	2
Best headphones I've ever owned!	5
Good solid pair of noise-canceling headphones.	5
Love them so far	5
Blocks out kids Screaming and Bickering	5
Love the Headphones - TERRIFIC customer service!	5
Great at first...	3

